Recipe_ID,Recipe_Name,Cuisine_Type,Ingredients_List_0,Ingredients_List_1,Ingredients_List_2,Ingredients_List_3,Ingredients_List_4,Preparation_Steps_0_0,Preparation_Steps_0_1,Preparation_Steps_0_2,Preparation_Steps_0_3,Cooking_Time_Minutes,Difficulty_Level,User_ID,User_Preferences,User_Rating,User_Feedback,Date_Prepared,Season,Occasion,Serving_Size,Calories_Per_Serving,Allergen_Information,Cost_Per_Serving,Popularity_Score,Seasonal_Availability
R001,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,55,Medium,U539,None,3,Feedback 1,2024-07-06,Spring,Party,4,509,None,14.0,402,No
R002,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,39,Easy,U538,None,2,Feedback 2,2024-02-24,Winter,Casual,4,275,Gluten,16.0,183,No
R003,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,36,Medium,U324,Gluten-Free,4,Feedback 3,2024-02-14,Winter,Party,5,293,None,12.0,137,Yes
R004,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,45,Medium,U548,Gluten-Free,2,Feedback 4,2024-04-13,Spring,Casual,6,580,None,10.0,246,Yes
R005,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,85,Easy,U990,Vegan,5,Feedback 5,2024-08-03,Fall,Dinner,4,641,Soy,13.0,386,No
R006,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,38,Medium,U649,None,1,Feedback 6,2024-10-14,Summer,Party,3,749,None,12.0,248,Yes
R007,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,71,Easy,U376,Vegan,2,Feedback 7,2024-04-20,Summer,Casual,5,310,Soy,7.0,297,Yes
R008,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,64,Easy,U359,Vegan,3,Feedback 8,2024-01-09,Spring,Lunch,3,574,Soy,15.0,332,Yes
R009,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,46,Medium,U263,Gluten-Free,3,Feedback 9,2024-05-02,Fall,Party,5,730,None,10.0,335,Yes
R010,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,22,Medium,U940,None,1,Feedback 10,2024-04-12,Fall,Party,4,278,None,18.0,259,No
R011,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,71,Hard,U563,Vegetarian,3,Feedback 11,2024-06-11,Fall,Dinner,3,481,Dairy,5.0,471,Yes
R012,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,34,Easy,U761,None,3,Feedback 12,2024-05-24,Fall,Dinner,5,789,Gluten,18.0,128,No
R013,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,20,Easy,U585,Vegan,2,Feedback 13,2024-02-09,Summer,Casual,5,347,Soy,15.0,397,Yes
R014,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,57,Easy,U476,Vegan,2,Feedback 14,2024-12-27,Fall,Casual,5,797,Soy,14.0,53,No
R015,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,33,Medium,U449,None,2,Feedback 15,2024-02-25,Spring,Party,5,731,None,14.0,493,Yes
R016,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,30,Medium,U969,Gluten-Free,1,Feedback 16,2024-05-02,Spring,Party,5,208,None,17.0,184,Yes
R017,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,86,Easy,U276,Vegan,2,Feedback 17,2024-12-06,Summer,Lunch,1,769,Soy,16.0,429,Yes
R018,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,50,Hard,U646,Vegetarian,2,Feedback 18,2024-04-20,Fall,Lunch,2,473,Dairy,18.0,151,No
R019,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,63,Easy,U636,None,3,Feedback 19,2024-04-26,Spring,Casual,6,735,Gluten,18.0,67,Yes
R020,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,47,Hard,U635,Vegetarian,4,Feedback 20,2024-05-25,Summer,Dinner,4,752,Dairy,14.0,414,Yes
R021,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,28,Easy,U180,Vegan,3,Feedback 21,2024-12-17,Fall,Party,3,527,Soy,7.0,50,No
R022,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,64,Medium,U874,None,3,Feedback 22,2024-09-09,Summer,Party,4,225,None,20.0,288,Yes
R023,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,39,Easy,U442,None,2,Feedback 23,2024-09-26,Fall,Party,3,437,Gluten,12.0,341,Yes
R024,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,68,Medium,U434,Gluten-Free,4,Feedback 24,2024-06-05,Summer,Party,6,678,None,14.0,128,Yes
R025,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,63,Medium,U825,None,3,Feedback 25,2024-08-05,Spring,Dinner,4,258,None,18.0,240,No
R026,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,34,Medium,U271,None,3,Feedback 26,2024-10-17,Fall,Lunch,5,475,None,7.0,436,No
R027,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,32,Easy,U994,Vegan,5,Feedback 27,2024-03-08,Winter,Party,2,510,Soy,7.0,131,No
R028,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,26,Hard,U583,Vegetarian,3,Feedback 28,2024-12-13,Summer,Lunch,1,477,Dairy,17.0,324,No
R029,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,76,Easy,U796,None,5,Feedback 29,2024-10-28,Summer,Casual,6,388,Gluten,18.0,250,Yes
R030,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,24,Hard,U413,Vegetarian,3,Feedback 30,2024-04-03,Summer,Party,4,767,Dairy,12.0,287,No
R031,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,70,Medium,U664,Gluten-Free,5,Feedback 31,2024-10-27,Fall,Casual,4,569,None,15.0,445,No
R032,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,80,Easy,U951,None,1,Feedback 32,2024-06-01,Summer,Casual,3,609,Gluten,6.0,77,No
R033,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,62,Medium,U798,None,2,Feedback 33,2024-09-13,Fall,Lunch,1,377,None,18.0,89,Yes
R034,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,51,Easy,U469,None,2,Feedback 34,2024-12-20,Spring,Dinner,1,300,Gluten,12.0,136,No
R035,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,90,Medium,U171,Gluten-Free,5,Feedback 35,2024-04-24,Summer,Dinner,4,302,None,8.0,69,Yes
R036,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,73,Hard,U437,Vegetarian,1,Feedback 36,2024-01-03,Fall,Dinner,4,433,Dairy,10.0,435,Yes
R037,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,69,Medium,U763,Gluten-Free,4,Feedback 37,2024-03-17,Fall,Lunch,5,227,None,12.0,371,Yes
R038,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,33,Hard,U485,Vegetarian,3,Feedback 38,2024-08-02,Summer,Lunch,1,321,Dairy,12.0,432,No
R039,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,76,Hard,U388,Vegetarian,5,Feedback 39,2024-04-11,Spring,Dinner,2,400,Dairy,18.0,463,No
