store_primary_category,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_partners,total_busy_partners,total_outstanding_orders,delivery_duration,partner_density,order_day,order_hour,order_period,busy_ratio,avg_item_price,order_size,grouped_category,order_period_encoded,log_delivery_duration,is_high_duration
italian,3,4475,3,925,1825,4.0,1.0,1.0,5267.0,2.0,Friday,0,Night,0.2,1491.6666666666667,Medium,Italian,3,8.569406062863171,1
italian,3,4375,3,1325,1625,6.0,4.0,3.0,4976.0,1.5,Sunday,2,Night,0.5714285714285714,1458.3333333333333,Medium,Italian,3,8.512582578858554,1
italian,3,3400,3,1400,2100,22.0,21.0,39.0,5574.0,0.55,Monday,2,Night,0.9130434782608696,1133.3333333333333,Medium,Italian,3,8.62604759632832,1
mexican,2,1706,2,749,789,23.0,23.0,23.0,5597.0,0.9583333333333334,Thursday,20,Evening,0.9583333333333334,853.0,Small,Mexican,1,8.630164670075398,1
sandwich,2,970,2,195,675,3.0,3.0,5.0,5024.0,0.5,Monday,19,Evening,0.75,485.0,Small,Fast Food,1,8.522180732927277,1
sandwich,3,2925,2,675,1125,4.0,4.0,6.0,5770.0,0.5714285714285714,Monday,20,Evening,0.8,975.0,Small,Fast Food,1,8.660600654710967,1
singaporean,1,1400,1,1400,1400,72.0,72.0,144.0,4978.0,0.496551724137931,Tuesday,2,Night,0.9863013698630136,1400.0,Small,Asian,3,8.512984346642183,1
mediterranean,2,2590,2,1245,1345,18.0,21.0,38.0,5920.0,0.4615384615384615,Thursday,5,Morning,1.105263157894737,1295.0,Small,Mediterranean,2,8.686260632531775,1
mediterranean,6,3815,5,100,1345,113.0,109.0,194.0,5154.0,0.5794871794871795,Monday,2,Night,0.956140350877193,635.8333333333334,Medium,Mediterranean,3,8.54772239645106,1
japanese,3,2990,3,595,1150,0.0,0.0,0.0,5214.0,0.0,Sunday,2,Night,0.0,996.6666666666666,Medium,Asian,3,8.559294367434873,1
catering,2,1500,2,250,1250,70.0,66.0,169.0,5638.0,0.4117647058823529,Thursday,19,Evening,0.9295774647887324,750.0,Small,Other,1,8.637462023807181,1
burger,3,3350,3,1050,1150,57.0,85.0,135.0,5194.0,0.4191176470588235,Monday,19,Evening,1.4655172413793105,1116.6666666666667,Medium,Fast Food,1,8.555451903533328,1
american,2,2190,2,795,1395,20.0,19.0,34.0,5959.0,0.5714285714285714,Monday,2,Night,0.9047619047619048,1095.0,Small,American,3,8.692825760059396,1
other,2,808,2,279,529,4.0,4.0,6.0,6233.0,0.5714285714285714,Sunday,17,Evening,0.8,404.0,Small,Other,1,8.737773460327283,1
mexican,4,2176,4,334,669,14.0,16.0,29.0,5752.0,0.4666666666666667,Monday,2,Night,1.0666666666666669,544.0,Medium,Mexican,3,8.657476736863293,1
indian,7,5275,4,395,1495,44.0,44.0,56.0,5208.0,0.7719298245614035,Wednesday,3,Night,0.9777777777777776,753.5714285714286,Medium,Indian,3,8.558143177745192,1
italian,6,6000,5,800,1500,4.0,4.0,6.0,6114.0,0.5714285714285714,Sunday,2,Night,0.8,1000.0,Medium,Italian,3,8.718500048121273,1
burger,1,1099,1,1099,1099,34.0,31.0,36.0,5763.0,0.918918918918919,Thursday,1,Night,0.8857142857142857,1099.0,Small,Fast Food,3,8.659386957119413,1
fast,24,3190,8,0,699,17.0,17.0,24.0,5760.0,0.68,Monday,1,Night,0.9444444444444444,132.91666666666666,Large,Fast Food,3,8.658866349732383,1
fast,7,1223,5,0,649,22.0,22.0,48.0,5808.0,0.4489795918367347,Tuesday,3,Night,0.9565217391304348,174.71428571428572,Medium,Fast Food,3,8.667163717992533,1
thai,2,1690,2,695,995,14.0,15.0,25.0,5478.0,0.5384615384615384,Monday,2,Night,1.0,845.0,Small,Asian,3,8.608677881538416,1
burger,2,2505,2,1195,1210,70.0,67.0,130.0,5188.0,0.5343511450381679,Saturday,3,Night,0.943661971830986,1252.5,Small,Fast Food,3,8.55429627936774,1
barbecue,2,3100,2,1225,1875,33.0,33.0,66.0,6277.0,0.4925373134328358,Monday,2,Night,0.9705882352941176,1550.0,Small,American,3,8.744806737401898,1
cajun,7,3300,4,75,1100,5.0,5.0,6.0,5382.0,0.7142857142857143,Tuesday,1,Night,0.8333333333333334,471.42857142857144,Medium,Latin,3,8.591001118560957,1
cajun,8,3390,6,75,1095,5.0,5.0,10.0,5464.0,0.4545454545454545,Saturday,22,Night,0.8333333333333334,423.75,Medium,Latin,3,8.60611940061064,1
sandwich,3,2543,3,414,1376,127.0,125.0,174.0,5678.0,0.7257142857142858,Monday,3,Night,0.9765625,847.6666666666666,Medium,Fast Food,3,8.644530439877432,1
burger,2,2158,1,1029,1029,49.0,49.0,87.0,6060.0,0.5568181818181818,Monday,2,Night,0.98,1079.0,Small,Fast Food,3,8.709630081951286,1
cafe,1,505,1,295,295,18.0,12.0,12.0,6045.0,1.3846153846153846,Sunday,21,Evening,0.631578947368421,505.0,Small,Other,1,8.707152175339404,1
thai,3,2285,3,495,895,44.0,42.0,96.0,5805.0,0.4536082474226804,Monday,3,Night,0.9333333333333332,761.6666666666666,Medium,Asian,3,8.666647144584575,1
burger,4,3836,3,375,1529,13.0,8.0,17.0,5364.0,0.7222222222222222,Tuesday,3,Night,0.5714285714285714,959.0,Medium,Fast Food,3,8.587651655064798,1
mexican,1,1400,1,1400,1400,88.0,78.0,114.0,5451.0,0.7652173913043478,Thursday,2,Night,0.8764044943820225,1400.0,Small,Mexican,3,8.603737792816423,1
mexican,2,2400,2,800,1600,100.0,97.0,130.0,4968.0,0.7633587786259542,Thursday,2,Night,0.9603960396039604,1200.0,Small,Mexican,3,8.51097389160232,1
barbecue,1,2575,1,2575,2575,47.0,47.0,78.0,5007.0,0.5949367088607594,Sunday,2,Night,0.9791666666666666,2575.0,Small,American,3,8.518791912779934,1
barbecue,1,2050,1,1850,1850,48.0,47.0,82.0,5501.0,0.5783132530120482,Thursday,4,Night,0.9591836734693876,2050.0,Small,American,3,8.61286694148452,1
barbecue,1,1675,1,1675,1675,30.0,40.0,45.0,5140.0,0.6521739130434783,Monday,20,Evening,1.2903225806451613,1675.0,Small,American,1,8.545002892055505,1
barbecue,3,4145,3,650,2195,35.0,41.0,65.0,5290.0,0.5303030303030303,Tuesday,3,Night,1.1388888888888888,1381.6666666666667,Medium,American,3,8.57376254290413,1
chinese,2,900,2,190,710,19.0,19.0,29.0,5266.0,0.6333333333333333,Tuesday,19,Evening,0.95,450.0,Small,Asian,1,8.569216219483389,1
chinese,3,1530,1,510,510,59.0,56.0,67.0,5443.0,0.8676470588235294,Friday,2,Night,0.9333333333333332,510.0,Small,Asian,3,8.602269363771356,1
chinese,3,1973,3,370,1200,67.0,67.0,94.0,5993.0,0.7052631578947368,Saturday,2,Night,0.9852941176470588,657.6666666666666,Medium,Asian,3,8.69851424787661,1
pizza,2,5215,2,2475,2740,64.0,54.0,104.0,5172.0,0.6095238095238096,Saturday,2,Night,0.8307692307692308,2607.5,Small,Italian,3,8.551208070003515,1
pizza,2,1550,1,775,775,64.0,59.0,118.0,5078.0,0.5378151260504201,Saturday,3,Night,0.9076923076923076,775.0,Small,Italian,3,8.532869670801245,1
pizza,3,5155,3,685,2475,67.0,58.0,95.0,5649.0,0.6979166666666666,Sunday,2,Night,0.8529411764705882,1718.3333333333333,Medium,Italian,3,8.639410824140487,1
pizza,2,3445,2,1025,2420,61.0,57.0,113.0,5487.0,0.5350877192982456,Monday,3,Night,0.9193548387096774,1722.5,Small,Italian,3,8.610319169405722,1
pizza,2,1650,1,745,745,46.0,45.0,78.0,4942.0,0.5822784810126582,Monday,1,Night,0.9574468085106383,825.0,Small,Italian,3,8.505727713306959,1
mexican,5,5285,5,450,1395,50.0,44.0,105.0,6209.0,0.4716981132075472,Monday,2,Night,0.8627450980392157,1057.0,Medium,Mexican,3,8.733916174927524,1
cafe,4,1270,4,150,395,1.0,1.0,2.0,5154.0,0.3333333333333333,Monday,17,Evening,0.5,317.5,Medium,Other,1,8.54772239645106,1
american,4,3605,3,609,1274,37.0,39.0,62.0,5368.0,0.5873015873015873,Tuesday,4,Night,1.0263157894736843,901.25,Medium,American,3,8.58839695042257,1
chinese,5,4435,5,675,1275,124.0,118.0,192.0,4958.0,0.6424870466321243,Monday,2,Night,0.944,887.0,Medium,Asian,3,8.508959386489133,1
